cid | mean_cos_to_global | min | max | #classes
 8  | 0.8430           | 0.7243 | 0.9684 | 10
13  | 0.8824           | 0.8389 | 0.9739 | 10
 6  | 0.9224           | 0.8195 | 0.9665 | 8
 0  | 0.9394           | 0.9038 | 0.9849 | 10
 5  | 0.9442           | 0.8896 | 0.9690 | 8
 9  | 0.9538           | 0.8651 | 0.9877 | 9
 1  | 0.9601           | 0.9443 | 0.9733 | 9
 4  | 0.9607           | 0.9324 | 0.9788 | 10
 7  | 0.9629           | 0.9377 | 0.9770 | 8
 2  | 0.9633           | 0.9216 | 0.9784 | 9
14  | 0.9641           | 0.9411 | 0.9847 | 10
12  | 0.9673           | 0.9535 | 0.9733 | 10
11  | 0.9740           | 0.9255 | 0.9860 | 9
10  | 0.9742           | 0.9681 | 0.9825 | 8
 3  | 0.9798           | 0.9537 | 0.9906 | 9
